name,constituency,session
Abdülgafur Efendi ,Karesi (Balıkesir),1
Abdülgani Ensari,Siverek,1
Abdülgani Ertan,Muş,1
Abdülhak Adnan Adıvar,İstanbul,1
Abdülhak Tevfik Gençtürk,Dersim (Tunceli),1
Abdülhalim Çelebi,Konya,1
Abdulhamit Çintan,Diyarbekir,1
Abdulkadir Kadri Kürkcü,Diyarbekir,1
Abdülkadir Kemali Öğütçü,Kastamonu,1
Abdullah Azmi Torun,Eskişehir,1
Abdullah Efendi,Malatya,1
Abdullah Faik Çopuroğlu,Adana,1
Abdullah Karabina,Sinop,1
Abdullah Lami Ersoy,Ayıntab (Antep),1
Abdullah Sabri Aytaç,Bolu,1
Abdullah Servet Akdağ,Bursa,1
Abdurrahman Dursun Yalvaç,Çorum,1
Ahmet Akif Suner,Batum,1
Ahmet Baydar,Bozok (Yozgat),1
Ahmet Besim Atalay,Kütahya,1
Ahmet Cemalettin Çelebi,Kırşehir,1
Ahmet Ferit Tek,İstanbul,1
Ahmet Fevzi Erdem,Batum,1
Ahmet Hakkı Sütekin,Niğde,1
Ahmet Hamdi Apaydın,Amasya,1
Ahmet Hamdi Dumrul,Biga,1
Ahmet Hamdi Ülkümen,Trabzon,1
Ahmet Hamdi Yalman,Canik (Samsun),1
Ahmet Hilmi Kalaç,Kayseri,1
Ahmet Lakşe,Ertuğrul (Bilecik),1
Ahmet Mazhar Akifoğlu,İstanbul,1
Ahmet Müfit Kurutluoğlu,Kırşehir,1
Ahmet Muhtar Mollaoğlu,İstanbul,1
Ahmet Nafiz Özalp,Canik (Samsun),1
Ahmet Nebil Yurter,Karahisar-ı Sahib (Afyonkarahisar),1
Ahmet Nüzhet Saraçoğlu,Ergani,1
Ahmet Ramiz Tan,Dersim (Tunceli),1
Ahmet Remzi Akgöztürk,Kayseri,1
Ahmet Rifat Çalık,Kayseri,1
Ahmet Rüstem Bilinski,Ankara,1
Ahmet Rüştü Çolakoğlu,Kastamonu,1
Ahmet Şükrü Oğuz,İstanbul,1
Ahmet Şükrü Yavuzyılmaz,Aydın,1
Ali Cenani,Ayıntab (Antep),1
Ali Çetinkaya,Karahisar-ı Sahib (Afyonkarahisar),1
Ali Cevdet Seçkin,Kırşehir,1
Ali Enver Tekand,İzmir,1
Ali Fethi Okyar,İstanbul,1
Ali Fuat Cebesoy,Ankara,1
Ali Haydar Bey,Genç,1
Ali Kılıç,Ayıntab (Antep),1
Ali Rıza Acara,Batum,1
Ali Rıza Ataışık,İçel (Silifke),1
Ali Rıza Ataman,Kars,1
Ali Rıza Bebek,İstanbul,1
Ali Rıza Özdarende,Amasya,1
Ali Rıza Topçu,Amasya,1
Ali Saip Ursavaş,Urfa,1
Ali Şefik,Ergani,1
Ali Sırrı Özata,Ergani,1
Ali Şükrü,Trabzon,1
Ali Sururi Tönük,Karahisar-ı Şarki (Şebinkarahisar),1
Ali Ulvi Bey,Burdur,1
Ali Vasıf Telli,Genç,1
Ali Vefa Seyhanlı,Antalya,1
Alirızapaşazade Ziya Bey,Menteşe (Muğla),1
Arif Baysal,Konya,1
Arif Marlalı,İstanbul,1
Arif Özdemir,Bitlis,1
Arslan Toğuzata,Maraş,1
Asım Möhördaroğlu,Erzurum,1
Asım Sirel,Amasya,1
Ata Atalay,Niğde,1
Bacanakzade Ziya,Sivas,1
Behçet Kutlu,Kangırı (Çankırı),1
Bekir Kocaoğlu,Kırşehir,1
Bekir Sami Kunduh,Amasya,1
Bekir Sıtkı Ocak,Siverek,1
Bozan Bey,Urfa,1
Cafer Tayyar Eğilmez,Edirne,1
Cami Baykurt,Aydın,1
Cavit Erdel,Kars,1
Celâl Bayar,Saruhan (Manisa),1
Celal Nuri İleri,Gelibolu,1
Celalettin Arif,Erzurum,1
Celalettin Aykar,Trabzon,1
Cemal Mersinli,Isparta,1
Cemil Altay,Kütahya,1
